cksum kappa rho numDaysToRecover beta deathRate pir AFP_Detection reintroRate minBurnIn obsPeriod seasonalAmp numSims movModel moveRate ES_Detection vacRate vilPop
ddb10f53 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.5 {32000,32000}
1ca7353e 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.5 {16000,16000,16000,16000}
46fb60c1 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.5 {8000,8000,8000,8000,8000,8000,8000,8000}
d7f71290 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.5 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
f61a7eac 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.5 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
f0a8215d 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.5 {32000,8000,8000,8000,8000}
1b1327a9 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0 0.1 0.5 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
aaf01bd7 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0 {64000}
72490240 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0 {32000,32000}
9433c665 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0 {16000,16000,16000,16000}
8bdb6999 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0 {8000,8000,8000,8000,8000,8000,8000,8000}
1dde5e53 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
8a9b2162 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0 {2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000}
8d538ef0 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0 {32000,8000,8000,8000,8000}
cf9b656f 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0 {32000,4000,4000,4000,4000,4000,4000,4000,4000}
4f6e2d92 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.05 {64000}
f10b5065 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.05 {32000,32000}
f1e4e57f 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.05 {16000,16000,16000,16000}
d29e5e3e 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.05 {8000,8000,8000,8000,8000,8000,8000,8000}
793f3ade 0.4179 0.2 28 135 0.02 0.005 1 0.001 50 100 0.05 10000 0 0.05 0 0.05 {4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000}
